id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
7041474;privé kamer op tweede verdieping;34106356;Jim;;Stuivenberg;5.122.121;443.052;Private room;25;1;223;9/11/2020;3.33;1;1
7067067;Master bedroom with 2 balconies;33481052;Anne;;Borgerhout Intra Muros Zuid;5.121.528;442.754;Private room;48;2;200;5/02/2020;3.00;5;363
7123771;Triplex in het oude centrum van Antwerpen;37228775;Jules;;Theaterbuurt-Meir;5.121.662;440.192;Entire home/apt;80;2;31;25/09/2020;1.82;2;161
7262234;cosy appartement near trainstation;14050717;Nana;;Amandus - Atheneum;512.238;442.055;Entire home/apt;52;2;136;13/09/2020;2.51;2;101
7264367;BOHEMIAN HOUSE ANTWERP From Sunday To Friday ‘s!!!;4261413;Jackie;;Oud - Berchem;511.998;443.277;Hotel room;36;1;18;8/03/2020;0.27;15;365
7264462;The FAMILY HOUSE!;4261413;Jackie;;Oud - Berchem;5.120.097;443.159;Private room;1002;1;11;11/08/2019;0.17;15;365
7298474;Authentic Belgian apartment;27585607;Christel;;Amandus - Atheneum;5.122.375;44.216;Entire home/apt;54;2;289;23/10/2020;4.36;3;350
7342924;Central apt. with panoramic view;6830519;Jura;;Universiteitsbuurt;5.122.077;441.521;Entire home/apt;63;2;102;13/03/2020;1.54;1;1
7365174;Cosy classical mansion;30007259;Carlo En Johnny;;Deurne Zuid West;5.120.915;445.426;Private room;42;1;277;30/09/2020;4.18;2;302
7416651;Convenient located quiet cosy house;30408795;Joris;;Amandus - Atheneum;512.208;442.289;Entire home/apt;65;2;48;9/03/2020;0.73;1;0
7443226;Well furnished apartment in Antwerp;33641167;Rose;;Deurne Zuid Oost;5.119.645;44.634;Private room;99;1;0;;;1;365
7461110;Meeting rooms  in Art Nouveau Antwerp! Add Beds!;4261413;Jackie;;Oud - Berchem;5.120.037;443.316;Private room;47;1;6;31/03/2019;0.09;15;365
7552929;Cosy and vintage apartment;10832813;Freya;;Borgerhout Intra Muros Noord;512.184;444.352;Entire home/apt;60;2;83;25/10/2020;1.26;1;33
7614218;Antwerp Apartment near Centre & EXPO;8851707;Nancy & Arthur;;Petroleum - Zuid;5.119.629;439.048;Entire home/apt;102;1;78;21/06/2020;1.37;1;350
7649576;Trendy appartment with view;40140067;Katrien;;Markgrave;5.119.786;440.675;Entire home/apt;79;2;42;3/07/2020;0.64;1;178
7724259;green paradise near central station;24189736;Paul;;Borgerhout Intra Muros Zuid;5.121.334;443.175;Entire home/apt;500;4;20;10/11/2019;0.31;2;364
