id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
193923,Single room in the real Barcelona,939590,Mónica,Horta-Guinardó,Horta,41.43846,2.1556,Private room,20,3,126,2020-03-14,1.11,1,364
196021,Old-time-charm apartment with patio!,953719,Maria,Eixample,l'Antiga Esquerra de l'Eixample,41.38796,2.15946,Entire home/apt,294,5,265,2020-03-16,2.36,1,260
196196,✨Large Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.4066,2.17459,Entire home/apt,98,2,92,2020-03-11,0.82,19,142
"197267,Cozy Studio in Gracia Neighborhood,632830,""M Angeles, Federico"",Gràcia,la Vila de Gràcia,41.40523,2.15187,Entire home/apt,25,31,343,2020-02-25,3.13,3,319"
198958,STUNNING sea view + pool Barcelona!,971768,Akira,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40854,2.21368,Entire home/apt,426,1,60,2019-11-19,0.57,14,20
199422,Modern apt near beach & city center,971768,Akira,Eixample,el Fort Pienc,41.39598,2.18251,Entire home/apt,75,1,86,2020-01-05,0.76,14,0
199794,Centric Double Room Private Bathroom,440825,Teresa,Eixample,l'Antiga Esquerra de l'Eixample,41.38336,2.15853,Private room,31,1,95,2020-03-17,1.06,1,354
206122,Amazing Loft in BCN Center,1013855,Alejandro,Gràcia,la Vila de Gràcia,41.39877,2.15887,Entire home/apt,141,3,171,2020-08-01,1.55,3,250
"206167,""Bright, comfy, central and with character"",1014050,Minerva,Sants-Montjuïc,el Poble Sec,41.37406,2.16524,Entire home/apt,80,3,89,2020-02-26,0.80,1,354"
209673,Sweet Apartment in Gràcia district!,1033366,Elena,Gràcia,la Vila de Gràcia,41.39895,2.15742,Entire home/apt,107,2,256,2020-03-15,2.64,1,363
213368,Lovely room Barcelona up 2 people,1037730,Elisagela Cristina,Gràcia,la Salut,41.413,2.159,Private room,55,2,50,2019-10-09,0.45,2,364
214970,Cozy Room in central flat Barcelona,1110014,Janeth,Sants-Montjuïc,el Poble Sec,41.36997,2.16473,Private room,33,30,144,2020-03-02,1.39,1,1
"216699,SUPER CENTRAL CUTE DOUBLE ROOM+TERRACE!,1118232,Fran,Ciutat Vella,""Sant Pere, Santa Caterina i la Ribera"",41.38484,2.17796,Private room,42,3,288,2019-10-06,2.64,1,365"
228638,Dble room in BCN with yoga shala,1190018,Maria Y Lucas,Gràcia,Vallcarca i els Penitents,41.41153,2.14695,Private room,40,2,18,2019-09-25,0.17,1,169
234375,ATTIC VIEWS SAGRADA FAMILIA,1227290,Francesca,Eixample,el Fort Pienc,41.39918,2.1752,Entire home/apt,59,35,49,2020-10-08,0.91,1,75
238266,RURAL HOUSE IN THE HEART OF BARCEL!,1249627,Bel,Gràcia,la Vila de Gràcia,41.40192,2.15711,Private room,53,1,110,2016-07-25,0.98,1,365
238703,☆Comfy central Flat Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,98,2,63,2019-11-24,0.80,19,142
"239821,""APARTAMENT BCN MIRALL, in the best neighborhood"",1257705,José Luis,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39653,2.1442,Entire home/apt,175,3,27,2019-12-28,0.38,3,42"
242335,Barceloneta Beach Apartment - FOR SEASON,15884961,Enjoy,Ciutat Vella,la Barceloneta,41.38295,2.18791,Entire home/apt,61,33,4,2015-12-21,0.04,13,363
"250016,""Excellent - 3 bedrooms, 2 bathrooms - Gothic"",1310304,Luis,Ciutat Vella,el Barri Gòtic,41.38732,2.17367,Entire home/apt,47,50,4,2020-02-16,0.04,56,364"
252232,Nice apartment with POOL BARCELONA,1298586,Kristjan Y Ana,Sant Martí,Sant Martí de Provençals,41.41626,2.20149,Entire home/apt,97,2,115,2020-11-11,1.07,6,354
255195,Lightly apartment with balcony to Las Ramblas,1310304,Luis,Ciutat Vella,el Raval,41.38151,2.17187,Entire home/apt,33,32,17,2020-10-09,0.16,56,365
256354,tranquila room in cosy flat....,1348378,Lidia,Sarrià-Sant Gervasi,el Putxet i el Farró,41.41269,2.13924,Private room,20,7,51,2020-10-30,0.48,2,235
256677,Barcelona Center!The Gothic Area,1350468,Petrutz,Ciutat Vella,el Barri Gòtic,41.3801,2.17693,Private room,60,3,156,2020-02-23,1.50,1,364
264125,Sagrada Familia 5' Metro WIFI fibre DISINFECTED,1377744,Esther & Gemma,Eixample,la Sagrada Família,41.41058,2.17599,Entire home/apt,125,3,243,2020-10-11,2.27,2,351
267816,Luxury Motor Yacht in Barcelona Port Olímpic near Casino,1404293,Sergio,Ciutat Vella,el Barri Gòtic,41.37781,2.18445,Entire home/apt,900,2,24,2019-11-09,0.23,2,356
"268017,Cosy apartment 3 bedrooms,1405013,""Bcn Clols Apartments, S.L."",Eixample,la Dreta de l'Eixample,41.393,2.17107,Entire home/apt,145,1,10,2020-07-27,0.09,15,215"
"268022,Charming 3 bedrooms apartment,1405013,""Bcn Clols Apartments, S.L."",Eixample,la Dreta de l'Eixample,41.393,2.17107,Entire home/apt,168,1,9,2019-05-02,0.19,15,111"
268417,Cozy Room near the Center. 2 línes underg.Eixample,1406951,Salva,Eixample,la Nova Esquerra de l'Eixample,41.37687,2.14979,Private room,36,2,205,2020-03-02,2.34,1,44
269467,Sunny and quiet Loft next to Sagrada Familia,1411775,Jeremies,Eixample,la Sagrada Família,41.40338,2.17685,Entire home/apt,88,7,54,2020-02-26,1.50,2,365
271259,Bright in the heart of the city,1419752,Flor,Ciutat Vella,el Raval,41.38587,2.16485,Private room,61,2,42,2019-05-19,0.39,1,0
271996,GR Apartment near Sagrada Familia,155686,Sonia,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40279,2.16612,Entire home/apt,51,31,13,2018-08-15,0.12,2,327
272282,Exquisito apartamento con espacios abiertos y luz,1425070,Mar,Eixample,l'Antiga Esquerra de l'Eixample,41.38347,2.15802,Entire home/apt,299,3,298,2020-11-28,2.89,1,208
